MAP50106442	935_131101
0_PITT_1105	PITT_RNA_PFC_1105
Br1380	Br1380_R3650
GTEX-1477Z	SRR1486475
AN17678	AN17678_ba41_42_22
71922	hB_RNA_8225
0_UMARY-1573_UMARY-1573	SRR5589169
SAMN01797226	SRR611070
2015-2919	2015-2919
2015-2917	2015-2917
2015-2918	2015-2918
71918	hB_RNA_12201
71919	hB_RNA_16175
71916	BM_10_719
71917	hB_RNA_9145
GTEX-13CF2	SRR1485542
71912	hB_RNA_7665
SAMN02928546	SRR1521441
SAMN02928545	SRR1521440
71933	BM_36_450
SAMN02928548	SRR1521444
SAMN02928547	SRR1521442
71931	hB_RNA_8535
SAMN02928540	SRR1521435
SAMN02928542	SRR1521437
SAMN02928541	SRR1521436
SAMN02928544	SRR1521439
SAMN02928543	SRR1521438
71929	BM_36_448
71927	BM_22_243
SAMN04940994	SRR3477464
71926	hB_RNA_17005
SAMN04940993	SRR3477463
71924	hB_RNA_16915
SAMN02928535	SRR1521428
SAMN02928537	SRR1521430
71941	hB_RNA_11082
SAMN02928536	SRR1521429
71942	BM_22_158
71940	hB_RNA_9143
0_UMARY-72_UMARY-72	SRR5589351
SAMN02928532	SRR1521425
71938	BM_36_406
71939	hB_RNA_8365
70609	BM_10_654
71936	hB_RNA_8325
71937	BM_36_471
SAMN02928524	SRR1521417
71954	BM_36_528
71955	hB_RNA_13389
GTEX-ZUA1	SRR1381889
71950	hB_RNA_12382
71951	BM_10_630
SAMN02928520	SRR1521413
SAMN02928521	SRR1521414
0_SH-95-21_SH-95-21	SRR5588945
2015-2922	2015-2922
2015-2923	2015-2923
2015-2921	2015-2921
71947	hB_RNA_7875
70614	hB_RNA_9173
2015-2924	2015-2924
SAMN02928513	SRR1521376
SAMN02928512	SRR1521375
71963	hB_RNA_9204
SAMN02928514	SRR1521377
71964	hB_RNA_9205
71961	BM_36_358
SAMN02928516	SRR1521379
SAMN02928519	SRR1521412
71960	BM_10_584
SAMN02928511	SRR1521374
SAMN02928510	SRR1521373
0_PITT_1099	PITT_RNA_PFC_1099
71958	hB_RNA_8335
71959	hB_RNA_11122
SAMN02928502	SRR1521365
71976	hB_RNA_16595
SAMN02928501	SRR1521364
71977	BM_10_645
SAMN02928504	SRR1521367
71974	hB_RNA_8655
SAMN02928503	SRR1521366
SAMN02928506	SRR1521369
71972	hB_RNA_9228
SAMN02928505	SRR1521368
71973	BM_10_706
SAMN02928508	SRR1521371
GTEX-Y8DK	SRR1395834
SAMN02928500	SRR1521363
GTEX-13CIG	SRR1337648
0_SH-02-08_SH-02-08	SRR5588890
0_PITT_1088	PITT_RNA_PFC_1088
SAMN02928509	SRR1521372
0_PITT_1086	PITT_RNA_BP_PFC_1086
71967	BM_22_22
71987	BM_36_449
71988	BM_10_717
71986	hB_RNA_8565
71983	hB_RNA_12514
71984	hB_RNA_13193
71981	hB_RNA_16335
0_SH-96-39_SH-96-39	SRR5588954
71980	BM_36_351
AN08677	AN08677_ba41_42_22
GTEX-145MI	SRR1498550
GTEX-WL46	SRR818210
GTEX-145MH	SRR1471943
71978	hB_RNA_12901
70665	BM_22_115
GTEX-145MF	SRR1480988
71994	BM_10_698
71995	hB_RNA_12638
71992	BM_22_195
ROS11430815	323_120501
71993	hB_RNA_12536
71991	BM_10_685
0_UMARY-671_UMARY-671	SRR5589348
71989	hB_RNA_13201
0_UMARY-1461_UMARY-1461	SRR5589140
11460	11460_TCX
CGND-HDA-00201-b38	HRA_00096
11463	11463_TCX
11465	11465_TCX
11464	11464_TCX
11469	11469_TCX
11468	11468_TCX
11470	11470_TCX
11472	11472_TCX
11471	11471_TCX
0_SH-07-63_SH-07-63	SRR5588921
11474	11474_TCX
11476	11476_TCX
CGND-HDA-00566-b38	HRA_01248
CGND-HDA-01311-b38	HRA_00308
ROS20945666	366_120502
11449	11449_TCX
11448	11448_TCX
11440	11440_TCX
11443	11443_TCX
11445	11445_TCX
11447	11447_TCX
AN00764	AN00764_ba9_61
11452	11452_TCX
GTEX-11EI6	SRR1379238
11456	11456_TCX
CGND-HDA-00594-b38	HRA_00219
11457	11457_TCX
2015-2951	2015-2951
0_SH-08-04_SH-08-04	SRR5588925
2015-2950	2015-2950
11427	11427_TCX
GTEX-X4XX	SRR1085850
11426	11426_TCX
GTEX-X4XY	SRR1077405
11429	11429_TCX
UMB5163	UMB5163_ba41_42_22
11428	11428_TCX
UMB5168	UMB5168_ba9
0_UMARY-1279_UMARY-1279	SRR5589109
11423	11423_TCX
11422	11422_TCX
11425	11425_TCX
11424	11424_TCX
0_Pitt_BP_1069	PITT_RNA_BP_PFC_1069
0_SH-07-28_SH-07-28	SRR5588916
0_Pitt_BP_697	PITT_RNA_BP_PFC_697
11430	11430_TCX
2015-2945	2015-2945
11431	11431_TCX
2015-2948	2015-2948
2015-2949	2015-2949
11433	11433_TCX
2015-2946	2015-2946
2015-2947	2015-2947
71900	BM_10_806
11404	11404_TCX
11408	11408_TCX
11400	11400_TCX
11403	11403_TCX
11402	11402_TCX
71910	BM_22_100
0_UMARY-1543_UMARY-1543	SRR5589157
71911	BM_10_771
0_Pitt_BP_1081	PITT_RNA_BP_PFC_1081
GTEX-11EMC	SRR1311575
11417	11417_TCX
71908	hB_RNA_16705
11410	11410_TCX
71906	hB_RNA_8405
11412	11412_TCX
71903	hB_RNA_7785
71904	BM_36_361
71901	hB_RNA_8135
SAMN04900968	SRR3438876
0_PITT_640	PITT_RNA_PFC_640
0_SH-96-08_SH-96-08	SRR5588948
0_PITT_634	PITT_RNA_PFC_634
0_SH-04-05_SH-04-05	SRR5588893
SAMN04900978	SRR3438890
SAMN04900976	SRR3438887
SAMN04900977	SRR3438889
SAMN04900974	SRR3438885
0_Pitt_BP_1020	PITT_RNA_BP_PFC_1020
Br1244	Br1244_R3603
Br1245	Br1245_R2809
SAMN04900972	SRR3438881
SAMN04900973	SRR3438883
SAMN04900970	SRR3438878
SAMN04900971	SRR3438879
SAMN04900989	SRR3438807
CGND-HDA-00540-b38	HRA_00527
SAMN04900987	SRR3438805
0_Pitt_BP_1031	PITT_RNA_BP_PFC_1031
0_PITT_622	PITT_RNA_PFC_622
UMB5144	UMB5144_ba41_42_22
SAMN04900983	SRR3438801
SAMN04900982	SRR3438892
GTEX-X585	SRR1102055
SAMN04900998	SRR3438816
SAMN04900999	SRR3438817
SAMN04900996	SRR3438814
SAMN04900997	SRR3438815
Br1225	Br1225_R3491
0_Pitt_BP_1044	PITT_RNA_BP_PFC_1044
0_Pitt_BP_1048	PITT_RNA_BP_PFC_1048
0_PITT_630	PITT_RNA_PFC_630
0_BLSA_2066	SRR5605665
SAMN04900994	SRR3438812
SAMN04900995	SRR3438813
SAMN04900993	SRR3438811
SAMN04900990	SRR3438808
11381	11381_TCX
CGND-HDA-01324-b38	HRA_00399
11383	11383_TCX
SM-CJEK6	590_120522
Br1214	Br1214_R3445
SM-CJEK7	589_120522
0_PITT_681	PITT_RNA_PFC_681
SM-CJEJS	569_120521
SM-CJEK5	625_120524
SM-CJEJT	924_131031
GTEX-13CZV	SRR1453341
SM-CJEK3	861_130911
SM-CJEJR	213_120425
0_PITT_685	PITT_RNA_PFC_685
SM-CJEJO	697_120605
0_PITT_686	PITT_RNA_PFC_686
SM-CJEJP	279_120430
SM-CJEJM	724_120605
SM-CJEJK	497_120515
SM-CJEJJ	703_120605
SM-CJEJG	398_120503
11385	11385_TCX
SM-CJEJA	573_120521
11389	11389_TCX
11391	11391_TCX
11393	11393_TCX
11395	11395_TCX
11394	11394_TCX
Br1204	Br1204_R3477
0_PITT_694	PITT_RNA_PFC_694
GTEX-11NUK	SRR1310008
SM-CJEKL	607_120523
11397	11397_TCX
SM-CJEKF	871_130911
11396	11396_TCX
SM-CJEKG	949_131107
11399	11399_TCX
11398	11398_TCX
SM-CJEKA	384_120503
0_UMARY-55_UMARY-55	SRR5589337
SM-CJEI6	170_120423
SM-CJEHU	638_120524
SAMN04900942	SRR3438894
SM-CJEI5	629_120524
SM-CJEI3	44_120416
SM-CJEHR	470_120514
AN01125	AN01125_ba9_22
SM-CJEHP	603_120523
SM-CJEHM	450_120507
SM-CJEHK	251_120426
SM-CJEHE	430_120507
SM-CJEHD	229_120425
SAMN04900959	SRR3438867
0_UMARY-4728_UMARY-4728	SRR5589277
SAMN04900954	SRR3438862
11371	11371_TCX
11370	11370_TCX
SAMN04900952	SRR3438906
SAMN04900953	SRR3438861
11372	11372_TCX
SM-CJEJ5	403_120503
SM-CJEJ6	196_120424
SM-CJEIU	662_120530
SM-CJEJ4	545_120516
GTEX-PWO3	SRR600385
SM-CJEJ2	68_120417
SM-CJEIN	132_120419
SM-CJEIO	349_120501
SM-CJEIL	604_120523
SM-CJEIM	900_131010
SM-CJEIJ	129_120419
SM-CJEIH	140_120419
0_UMARY-650_UMARY-650	SRR5589346
0_SH-08-44_SH-08-44	SRR5588927
11374	11374_TCX
SM-CJEIE	631_120524
11377	11377_TCX
SM-CJEIB	614_120523
UMB5115	UMB5115_ba41_42_22
SM-CJEIA	594_120522
SM-CJEG8	815_130702
71887	BM_22_152
SM-CJEG9	796_130701
SM-CJEFX	431_120507
71884	BM_36_525
SM-CJEFU	296_120430
71885	hB_RNA_4312
71882	BM_36_516
SM-CJEG4	495_120515
SM-CJEFS	536_120516
SAMN02709068	SRR1206045
71883	BM_10_809
0_UMARY-288_UMARY-288	SRR5589243
71880	BM_10_766
SM-CJEFQ	496_120515
71881	hB_RNA_8885
SM-CJEG3	647_120529
SM-CJEG1	322_120501
2015-923	2015-923
0_UMARY-1861_UMARY-1861	SRR5605703
CGND-HDA-00198-b38	HRA_00065
71879	BM_36_429
71899	BM_22_156
0_UMARY-1274_UMARY-1274	SRR5605676
SM-CJEGX	434_120507
70568	BM_22_172
71896	hB_RNA_16025
0_MSSM_BP_20	MSSM_RNA_BP_PFC_20
SM-CJEH6	429_120507
71891	hB_RNA_17015
SM-CJEGR	36_120416
SM-CJEH3	811_130702
SM-CJEGP	176_120424
SM-CJEH2	35_120416
0_MSSM_BP_19	MSSM_RNA_BP_PFC_19
0_MSSM_BP_18	MSSM_RNA_BP_PFC_18
SM-CJEGH	200_120424
SM-CJEGI	944_131107
0_PITT_1047	PITT_RNA_PFC_1047
0_MSSM_BP_11	MSSM_RNA_BP_PFC_11
SM-CJEGB	671_120530
0_MSSM_BP_10	MSSM_RNA_BP_PFC_10
0_UMARY-1362_UMARY-1362	SRR5605680
0_MSSM_BP_13	MSSM_RNA_BP_PFC_13
0_MSSM_BP_12	MSSM_RNA_BP_PFC_12
SM-CJEGA	636_120524
0_MSSM_BP_15	MSSM_RNA_BP_PFC_15
0_MSSM_BP_14	MSSM_RNA_BP_PFC_14
0_MSSM_BP_17	MSSM_RNA_BP_PFC_17
0_MSSM_BP_16	MSSM_RNA_BP_PFC_16
2015-901	2015-901
2015-900	2015-900
CGND-HDA-01320-b38	HRA_00373
2015-902	2015-902
0_MSSM_BP_24	MSSM_RNA_BP_PFC_24
0_UMARY-1831_UMARY-1831	SRR5589203
0_PITT_1026	PITT_RNA_PFC_1026
2015-918	2015-918
0_UMARY-1743_UMARY-1743	SRR5589189
AN17515	AN17515_BA4_6
0_UMARY_1226	SRR5589103
0_SH-03-15_SH-03-15	SRR5588891
0_SH-98-19_SH-98-19	SRR5588967
0_Pitt_BP_10014	PITT_RNA_BP_PFC_10014
GTEX-132Q8	SRR1338219
0_Pitt_BP_10004	PITT_RNA_BP_PFC_10004
Br1288	Br1288_R2954
Br1287	Br1287_R3552
MAP50301099	274_120430
0_Pitt_BP_10006	PITT_RNA_BP_PFC_10006
0_PITT_604	PITT_RNA_PFC_604
0_UMARY_1206	SRR5589098
Br1279	Br1279_R3447
SAMEA1322601	ERR103421
Br1271	CMC_HBCC_RNA_PFC_3069
SAMEA1322600	ERR103424
GTEX-N7MS	SRR1323106
GTEX-N7MT	SRR602365
0_SH-07-37_SH-07-37	SRR5588918
Br1264	Br1264_R3539
SAMN02251249	SRR934879
SAMN02251247	SRR934860
SAMN02251246	SRR934733
0_UMARY_819	SRR5589358
SAMN02251245	SRR934861
SAMN02251244	SRR934874
SAMN02251243	SRR934883
11506	11506_TCX
CGND-HDA-00552-b38	HRA_00624
11505	11505_TCX
AN06365	AN06365_ba41_42_22
11507	11507_TCX
0_SH-05-10_SH-05-10	SRR5588901
0_SH-97-53_SH-97-53	SRR5588965
11500	11500_TCX
11502	11502_TCX
SAMN02866098	SRR1424703
SAMN02251259	SRR934862
SAMN02251258	SRR934730
SAMN02251257	SRR934741
SAMN02866094	SRR1424705
SAMN02866095	SRR1424697
SAMN02251255	SRR934885
SAMN02866097	SRR1424706
SAMN02251253	SRR934740
SAMN02866090	SRR1424688
SAMN02866092	SRR1424694
SAMN02866093	SRR1424702
0_MSSM_202	MSSM_RNA_PFC_202
0_MSSM_204	MSSM_RNA_PFC_204
0_MSSM_201	MSSM_RNA_PFC_201
0_MSSM_209	MSSM_RNA_PFC_209
0_UMARY_4636	SRR5589260
SAMN02866087	SRR1424685
SAMN02866088	SRR1424691
SAMN02866089	SRR1424696
SAMN02251269	SRR934768
SAMN02866083	SRR1424680
SAMN02251268	SRR934732
0_SH-07-46_SH-07-46	SRR5588919
SAMN02866084	SRR1424690
SAMN02251267	SRR934718
68419	BM_10_649
SAMN02866085	SRR1424679
SAMN02251266	SRR934734
SAMN02866086	SRR1424693
SAMN02251264	SRR934771
SAMN02866080	SRR1424682
SAMN02251263	SRR934735
SAMN02866081	SRR1424686
SAMN02866082	SRR1424687
SAMN02251261	SRR934727
0_MSSM_210	MSSM_RNA_PFC_210
0_MSSM_212	MSSM_RNA_PFC_212
0_MSSM_211	MSSM_RNA_PFC_211
0_Pitt_BP_984	PITT_RNA_BP_PFC_984
0_Pitt_BP_982	PITT_RNA_BP_PFC_982
0_UMARY_4640	SRR5589262
68422	hB_RNA_8555
68420	BM_10_656
SAMN02866076	SRR1424676
68427	BM_10_681
SAMN02866077	SRR1424675
SAMN02866078	SRR1424678
SAMN02866079	SRR1424683
SAMN02866072	SRR1424677
SAMN02866073	SRR1424671
SAMN02251278	SRR934756
SAMN02866074	SRR1424681
SAMN02251277	SRR934759
SAMN02866075	SRR1424684
68428	hB_RNA_16215
SAMN02251275	SRR934723
GTEX-X4EP	SRR1487362
SAMN02866070	SRR1424673
SAMN02866071	SRR1424674
SAMN02251271	SRR934731
0_MSSM_226	MSSM_RNA_PFC_226
0_MSSM_221	MSSM_RNA_PFC_221
0_MSSM_220	MSSM_RNA_PFC_220
0_MSSM_223	MSSM_RNA_PFC_223
0_MSSM_229	MSSM_RNA_PFC_229
GTEX-13FLV	SRR1442571
0_MSSM_228	MSSM_RNA_PFC_228
68434	hB_RNA_12838
0_Pitt_BP_957	PITT_RNA_BP_PFC_957
68431	BM_36_375
SAMN02251288	SRR934810
SAMN02251287	SRR934827
SAMN02251285	SRR934831
SAMN02251284	SRR934769
SAMN02251281	SRR934722
68430	BM_22_163
GTEX-117XS	SRR1311400
SAMN02251299	SRR934901
SAMN02251297	SRR934920
SAMN02251295	SRR934760
CGND-HDA-00543-b38	HRA_00571
SAMN02251294	SRR934804
SAMN02251293	SRR934818
Br2097	Br2097_R4321
SAMN02251292	SRR934821
Br2099	Br2099_R4343
SAMN02251290	SRR934824
Br2094	Br2094_R4337
Br2090	Br2090_R4319
0_UMARY_871	SRR5589359
68455	BM_10_807
68454	hB_RNA_16065
0_SH-00-49_SH-00-49	SRR5588886
AN09402	AN09402_ba9
Br2083	R5632
Br2084	CMC_HBCC_RNA_PFC_3903
CGND-HDA-01328-b38	HRA_00424
Br2080	Br2080_R5625
0_Pitt_BP_945	PITT_RNA_BP_PFC_945
GTEX-117YW	SRR1465632
CGND-HDA-00196-b38	HRA_00063
2015-1540	2015-1540
2015-1541	2015-1541
2015-1543	2015-1543
0_MSSM_282	MSSM_RNA_PFC_282
0_MSSM_284	MSSM_RNA_PFC_284
Br1651	R3945
0_MSSM_281	MSSM_RNA_PFC_281
0_MSSM_280	MSSM_RNA_PFC_280
0_MSSM_277	MSSM_RNA_PFC_277
0_UMARY-1379_UMARY-1379	SRR5605682
Br1647	Br1647_R4222
2015-1533	2015-1533
2015-1532	2015-1532
0_MSSM_295	MSSM_RNA_PFC_295
0_MSSM_290	MSSM_RNA_PFC_290
0_MSSM_291	MSSM_RNA_PFC_291
0_MSSM_286	MSSM_RNA_PFC_286
0_MSSM_289	MSSM_RNA_PFC_289
0_MSSM_288	MSSM_RNA_PFC_288
CGND-HDA-00538-b38	HRA_00633
2015-1535	2015-1535
GTEX-14A5I	SRR1331335
2015-1534	2015-1534
2015-1537	2015-1537
2015-1536	2015-1536
2015-1538	2015-1538
AN11796	AN11796_BA38
0_MSSM_297	MSSM_RNA_PFC_297
0_MSSM_299	MSSM_RNA_PFC_299
2015-2882	2015-2882
2015-2881	2015-2881
2015-1553	2015-1553
2015-2884	2015-2884
2015-1552	2015-1552
2015-2883	2015-2883
2015-2886	2015-2886
2015-1555	2015-1555
0_UMARY-4848_UMARY-4848	SRR5589292
2015-2885	2015-2885
Br1627	Br1627_R3590
2015-1557	2015-1557
2015-2888	2015-2888
2015-2887	2015-2887
2015-1556	2015-1556
SAMN02866069	SRR1424668
SAMN02251208	SRR934749
SAMN02251207	SRR934823
GTEX-13FHO	SRR1468514
SAMN02866065	SRR1424659
SAMN02251206	SRR934826
SAMN02866066	SRR1424656
SAMN02251205	SRR934829
CGND-HDA-02063	HRA_01267
SAMN02866067	SRR1424662
SAMN02866068	SRR1424665
SAMN05891419	SRR4407802
SAMN02251203	SRR934748
SAMN02866061	SRR1424666
SAMN02866062	SRR1424667
SAMN02251201	SRR934750
ROS20998065	79_120417
Br1613	Br1613_R2839
0_MSSM_241	MSSM_RNA_PFC_241
SAMN02866063	SRR1424670
0_MSSM_240	MSSM_RNA_PFC_240
SAMN02866064	SRR1424672
SAMN02866060	SRR1424661
SAMN05891421	SRR4407804
2015-1509	2015-1509
SAMN05891420	SRR4407803
0_MSSM_238	MSSM_RNA_PFC_238
0_MSSM_237	MSSM_RNA_PFC_237
0_MSSM_232	MSSM_RNA_PFC_232
0_MSSM_234	MSSM_RNA_PFC_234
0_MSSM_233	MSSM_RNA_PFC_233
SAMN05891429	SRR4407813
2015-1504	2015-1504
2015-1503	2015-1503
SAMN05891426	SRR4407809
2015-1506	2015-1506
2015-1505	2015-1505
0_MSSM_239	MSSM_RNA_PFC_239
SAMN05891424	SRR4407807
2015-1507	2015-1507
SAMN02866058	SRR1424669
CGND-HDA-02057	HRA_01264
SAMN02866059	SRR1424664
0_Pitt_BP_1180	PITT_RNA_BP_PFC_1180
0_Pitt_BP_1181	PITT_RNA_BP_PFC_1181
SAMN02866054	SRR1424657
SAMN02251217	SRR934751
CGND-HDA-02053	HRA_00586
SAMN02866055	SRR1424660
SAMN02251215	SRR934742
SAMN02866056	SRR1424663
SAMN02251214	SRR934745
SAMN02866057	SRR1424658
0_MSSM_250	MSSM_RNA_PFC_250
SAMN02251213	SRR934755
SAMN02251212	SRR934858
Br1602	Br1602_R3975
SAMN02251211	SRR934758
0_MSSM_251	MSSM_RNA_PFC_251
0_MSSM_248	MSSM_RNA_PFC_248
0_MSSM_243	MSSM_RNA_PFC_243
0_MSSM_242	MSSM_RNA_PFC_242
0_MSSM_245	MSSM_RNA_PFC_245
CGND-HDA-00525-b38	HRA_00160
SAMN05891439	SRR4407824
SAMN05891437	SRR4407822
SAMN02251228	SRR934867
SAMN02251227	SRR934869
SAMN02251226	SRR934719
0_Pitt_BP_1196	PITT_RNA_BP_PFC_1196
SAMN02251225	SRR934720
0_MSSM_261	MSSM_RNA_PFC_261
SAMN02251224	SRR934767
0_MSSM_260	MSSM_RNA_PFC_304
SAMN02251223	SRR934717
SAMN02251222	SRR934770
0_MSSM_258	MSSM_RNA_PFC_258
0_MSSM_257	MSSM_RNA_PFC_257
0_MSSM_254	MSSM_RNA_PFC_254
0_MSSM_253	MSSM_RNA_PFC_253
0_MSSM_256	MSSM_RNA_PFC_256
SAMN05891407	SRR4407798
AN08161	AN08161_ba9
GTEX-13NZA	SRR1416754
CGND-HDA-01319-b38	HRA_00370
SAMN02251239	SRR934881
GTEX-13NYS	SRR1414595
SAMN02251238	SRR934863
2015-1511	2015-1511
2015-1510	2015-1510
0_MSSM_272	MSSM_RNA_PFC_272
SAMN02251234	SRR934875
0_MSSM_274	MSSM_RNA_PFC_274
0_MSSM_273	MSSM_RNA_PFC_273
SAMN02251231	SRR934873
SAMN02251230	SRR934877
0_MSSM_270	MSSM_RNA_PFC_270
0_MSSM_269	MSSM_RNA_PFC_269
0_MSSM_265	MSSM_RNA_PFC_265
GTEX-13NYC	SRR1489137
0_MSSM_264	MSSM_RNA_PFC_264
0_UMARY_813	SRR5589355
0_MSSM_266	MSSM_RNA_PFC_266
2015-1513	2015-1513
SAMN05891418	SRR4407801
2015-1512	2015-1512
SAMN05891415	SRR4407847
SAMN05891413	SRR4407845
SAMN05891412	SRR4407843
SAMN05891411	SRR4407832
2015-8	2015-8
2015-7	2015-7
2015-4	2015-4
2015-6	2015-6
0_Pitt_BP_1130	PITT_RNA_BP_PFC_1130
GTEX-NPJ7	SRR604026
GTEX-NPJ8	SRR627449
2015-1	2015-1
GTEX-PVOW	SRR658129
CGND-HDA-00595-b38	HRA_00220
0_PITT_1336	PITT_RNA_PFC_1336
0_UMARY_5079	SRR5589310
0_UMARY_5078	SRR5589309
0_UMARY-1464_UMARY-1464	SRR5589141
ROS21274866	587_120522
AN00142	AN00142_ba9
0_UMARY-1569_UMARY-1569	SRR5589164
0_PITT_1326	PITT_RNA_PFC_1326
0_PITT_1324	PITT_RNA_BP_PFC_1324
0_UMARY_5086	SRR5589311
0_UMARY_5087	SRR5589315
0_Pitt_BP_1153	PITT_RNA_BP_PFC_1153
SAMN05891443	SRR4407828
Br1591	CMC_HBCC_RNA_PFC_3033
Br1594	Br1594_R3942
0_PITT_1314	PITT_RNA_PFC_1314
SAMN05891440	SRR4407825
0_PITT_739	PITT_RNA_PFC_739
SAMN05891449	SRR4407835
SAMN05891448	SRR4407834
SAMN05891447	SRR4407833
SAMN05891446	SRR4407831
SAMN05891445	SRR4407830
CGND-HDA-00547-b38	HRA_01218
Br1581	Br1581_R3996
SAMN06621760	SRR5361432
Br1580	Br1580_R3058
SAMN05891453	SRR4407839
SAMN06621762	SRR5361430
SAMN05891451	SRR4407837
SAMN06621761	SRR5361431
SAMN05891450	SRR4407836
SAMN06621764	SRR5361428
SAMN05891457	SRR4407844
SAMN05891456	SRR4407842
SAMN05891455	SRR4407841
SAMN02866102	SRR1424695
SM-CTEMN	593_120522
SAMN02866104	SRR1424704
SAMN02866105	SRR1424707
SM-CTEMM	174_120424
SM-CTEMS	520_120515
SAMN02866100	SRR1424692
SM-CTEN2	505_120515
SM-CTEN7	663_120530
SM-CTEMW	698_120605
SM-CTEN5	524_120515
SM-CTEMU	635_120524
SM-CTEMY	164_120423
SM-CTEND	549_120517
SM-CTENG	543_120516
2016-885	2016-885
SM-CTENE	550_120517
SM-CTENF	576_120521
2016-889	2016-889
2016-888	2016-888
AN03217	AN03217_ba41_42_22_92
SM-CTEM6	187_120424
SM-CTELS	180_120424
Br1568	Br1568_R2874
SM-CTEM5	610_120523
0_Pitt_BP_1102	PITT_RNA_BP_PFC_1102
Br1562	R2959
2016-890	2016-890
2016-892	2016-892
2016-891	2016-891
CGND-HDA-00192-b38	HRA_00087
2016-894	2016-894
2016-893	2016-893
SM-CTEMG	452_120507
2016-896	2016-896
2016-895	2016-895
SM-CTEMJ	502_120515
SM-CTEMK	687_120604
2016-869	2016-869
2016-868	2016-868
11481	11481_TCX
ROS20275399	166_120423
11480	11480_TCX
11483	11483_TCX
11482	11482_TCX
Br1554	R4209
Br1553	Br1553_R4185
CGND-HDA-00565-b38	HRA_01246
Br1550	Br1550_R2983
GTEX-XMD1	SRR1078347
11485	11485_TCX
2016-863	2016-863
11486	11486_TCX
2016-865	2016-865
11489	11489_TCX
2016-864	2016-864
2016-867	2016-867
AN12137	AN12137_BA17
2016-866	2016-866
11492	11492_TCX
11491	11491_TCX
11494	11494_TCX
11493	11493_TCX
2016-870	2016-870
2016-872	2016-872
2016-871	2016-871
11495	11495_TCX
11498	11498_TCX
11497	11497_TCX
11499	11499_TCX
GTEX-13FTZ	SRR1418127
0_UMARY_1545	SRR5589162
0_UMARY_1544	SRR5589159
70672	BM_10_617
SM-CTEIL	314_120501
SM-CTEIR	406_120503
SM-CTEIP	232_120425
Br2063	Br2063_R5628
CGND-HDA-01315-b38	HRA_00339
SAMN06621719	SRR5361473
GTEX-13X6J	SRR1317877
GTEX-13X6I	SRR1387264
GTEX-13X6K	SRR1339651
GTEX-13G51	SRR1478768
SM-CTEI7	83_120417
SM-CTEI5	108_120418
0_SH-96-30_SH-96-30	SRR5588950
SM-CTEIC	433_120507
2016-825	2016-825
SM-CTEGH	893_130923
2016-824	2016-824
2016-827	2016-827
SM-CTEGF	97_120417
2016-826	2016-826
SM-CTEGG	833_130729
2016-829	2016-829
2016-828	2016-828
SM-CTEGM	273_120430
70696	BM_22_160
SM-CTEGQ	484_120515
SM-CTEGO	321_120501
SM-CTEGR	473_120514
SM-CTEGS	23_120411
SM-CTEGV	561_120517
Br2044	CMC_HBCC_RNA_PFC_3918
SM-CTEGW	951_131107
2016-823	2016-823
0_PITT_1391	PITT_RNA_PFC_1391
SM-CTEFH	353_120501
SM-CTEFE	929_131031
CGND-HDA-00534-b38	HRA_00553
SM-CTEFK	88_120417
0_UMARY_1535	SRR5589151
SM-CTEFL	911_131031
SM-CTEFJ	522_120515
0_SH-06-05_SH-06-05	SRR5588905
SM-CTEFO	57_120417
SM-CTEFP	236_120425
SM-CTEFM	248_120426
Br2036	Br2036_R4053
SM-CTEG4	879_130918
SM-CTEG5	351_120501
SM-CTEFT	486_120515
SM-CTEFQ	260_120426
SM-CTEG8	460_120514
SM-CTEG9	562_120517
SM-CTEFX	01_120405
SM-CTEG7	38_120416
SM-CTEFZ	551_120517
0_PITT_1386	PITT_RNA_PFC_1386
2016-830	2016-830
2016-832	2016-832
SM-CTEGD	887_130923
2016-831	2016-831
2016-834	2016-834
0_UMARY_1541	SRR5589156
2016-833	2016-833
SM-CTEEF	689_120604
SM-CTEEG	525_120515
SM-CTEEM	882_130918
SM-CTEER	690_120604
0_PENN_92	PENN_RNA_PFC_92
0_PENN_95	PENN_RNA_PFC_95
SAMN06621751	SRR5361441
SM-CTEET	339_120501
Br2022	R5598
SM-CTEEU	660_120530
SAMN06621753	SRR5361439
SM-CTEEZ	190_120424
SAMN06621752	SRR5361440
0_PENN_91	PENN_RNA_PFC_91
SAMN06621755	SRR5361437
SM-CTEEY	847_130830
SAMN06621757	SRR5361435
0_PITT_1374	PITT_RNA_BP_PFC_1374
SAMN06621756	SRR5361436
SAMN06621759	SRR5361433
0_PITT_1372	PITT_RNA_PFC_1372
SAMN06621758	SRR5361434
0_PENN_97	PENN_RNA_PFC_97
0_PENN_96	PENN_RNA_PFC_96
SM-CTEFD	448_120507
2016-801	2016-801
0_PENN_99	PENN_RNA_PFC_99
SM-CTEFA	702_120605
UMB4999	UMB4999_ba9
2016-800	2016-800
0_PENN_98	PENN_RNA_PFC_98
SM-CTEDC	33_120416
0_UMARY-1378_UMARY-1378	SRR5605681
SM-CTEDG	675_120604
SM-CTEDN	124_120419
SM-CTEDQ	283_120430
SM-CTEE3	162_120423
SM-CTEDO	103_120418
Br2015	Br2015_R5596
SM-CTEDP	720_120531
SM-CTEDU	383_120503
SM-CTEE6	119_120418
SAMN06621740	SRR5361452
SM-CTEDS	336_120501
SM-CTEE4	188_120424
SM-CTEE5	483_120515
SAMN06621742	SRR5361450
