RnaID	RNADataset	GenotypeQuery	Reason
SRR1510143	ENA	PRJNA254971	SAMN02906756	GenotypeID not found
SRR897913	ENA	PRJNA208369	SAMN02201691	GenotypeID not found
SRR897915	ENA	PRJNA208369	SAMN02201693	GenotypeID not found
SRR897912	ENA	PRJNA208369	SAMN02201689	GenotypeID not found
SRR897911	ENA	PRJNA208369	SAMN02201686	GenotypeID not found
SRR897917	ENA	PRJNA208369	SAMN02201692	GenotypeID not found
SRR897910	ENA	PRJNA208369	SAMN02201688	GenotypeID not found
SRR897914	ENA	PRJNA208369	SAMN02201690	GenotypeID not found
SRR897918	ENA	PRJNA208369	SAMN02201700	GenotypeID not found
SRR897909	ENA	PRJNA208369	SAMN02201687	GenotypeID not found
SRR897916	ENA	PRJNA208369	SAMN02201694	GenotypeID not found
SRR2816005	ENA	PRJNA299472	SAMN04209721	GenotypeID not found
SRR2816010	ENA	PRJNA299472	SAMN04209726	GenotypeID not found
SRR2816008	ENA	PRJNA299472	SAMN04209724	GenotypeID not found
SRR2816011	ENA	PRJNA299472	SAMN04209727	GenotypeID not found
SRR2816013	ENA	PRJNA299472	SAMN04209729	GenotypeID not found
SRR2816017	ENA	PRJNA299472	SAMN04209733	GenotypeID not found
SRR2816006	ENA	PRJNA299472	SAMN04209722	GenotypeID not found
SRR2816015	ENA	PRJNA299472	SAMN04209731	GenotypeID not found
SRR2816016	ENA	PRJNA299472	SAMN04209732	GenotypeID not found
SRR2816007	ENA	PRJNA299472	SAMN04209723	GenotypeID not found
SRR898161	ENA	PRJNA208369	SAMN02200665	GenotypeID not found
SRR898152	ENA	PRJNA208369	SAMN02200664	GenotypeID not found
SRR898150	ENA	PRJNA208369	SAMN02200668	GenotypeID not found
SRR898155	ENA	PRJNA208369	SAMN02200666	GenotypeID not found
SRR898156	ENA	PRJNA208369	SAMN02200672	GenotypeID not found
SRR898158	ENA	PRJNA208369	SAMN02200669	GenotypeID not found
SRR898160	ENA	PRJNA208369	SAMN02200663	GenotypeID not found
SRR898154	ENA	PRJNA208369	SAMN02200671	GenotypeID not found
SRR898153	ENA	PRJNA208369	SAMN02200667	GenotypeID not found
SRR898159	ENA	PRJNA208369	SAMN02200670	GenotypeID not found
ERR103433	ENA	PRJEB2939	SAMEA1322593	GenotypeID not found
ERR103422	ENA	PRJEB2939	SAMEA1322585	GenotypeID not found
ERR103432	ENA	PRJEB2939	SAMEA1322588	GenotypeID not found
ERR103430	ENA	PRJEB2939	SAMEA1322587	GenotypeID not found
SRR897124	ENA	PRJNA208369	SAMN02200167	GenotypeID not found
SRR897127	ENA	PRJNA208369	SAMN02200169	GenotypeID not found
SRR897129	ENA	PRJNA208369	SAMN02200170	GenotypeID not found
SRR897128	ENA	PRJNA208369	SAMN02200168	GenotypeID not found
SRR897126	ENA	PRJNA208369	SAMN02200166	GenotypeID not found
SRR897131	ENA	PRJNA208369	SAMN02200171	GenotypeID not found
SRR897133	ENA	PRJNA208369	SAMN02200175	GenotypeID not found
SRR897140	ENA	PRJNA208369	SAMN02200174	GenotypeID not found
SRR897130	ENA	PRJNA208369	SAMN02200173	GenotypeID not found
SRR897132	ENA	PRJNA208369	SAMN02200172	GenotypeID not found
SRR2815988	ENA	PRJNA299472	SAMN04209704	GenotypeID not found
SRR2815983	ENA	PRJNA299472	SAMN04209699	GenotypeID not found
SRR2815982	ENA	PRJNA299472	SAMN04209698	GenotypeID not found
SRR2815985	ENA	PRJNA299472	SAMN04209701	GenotypeID not found
SRR2815984	ENA	PRJNA299472	SAMN04209700	GenotypeID not found
SRR2815980	ENA	PRJNA299472	SAMN04209696	GenotypeID not found
SRR2815981	ENA	PRJNA299472	SAMN04209697	GenotypeID not found
SRR2816020	ENA	PRJNA299472	SAMN04209736	GenotypeID not found
SRR2816022	ENA	PRJNA299472	SAMN04209738	GenotypeID not found
SRR2816019	ENA	PRJNA299472	SAMN04209735	GenotypeID not found
SRR2816093	ENA	PRJNA299472	SAMN04209740	GenotypeID not found
SRR2816021	ENA	PRJNA299472	SAMN04209737	GenotypeID not found
SRR2816018	ENA	PRJNA299472	SAMN04209734	GenotypeID not found
SRR896788	ENA	PRJNA208369	SAMN02199485	GenotypeID not found
SRR896792	ENA	PRJNA208369	SAMN02199491	GenotypeID not found
SRR896783	ENA	PRJNA208369	SAMN02199482	GenotypeID not found
SRR896784	ENA	PRJNA208369	SAMN02199481	GenotypeID not found
SRR896786	ENA	PRJNA208369	SAMN02199484	GenotypeID not found
SRR896789	ENA	PRJNA208369	SAMN02199488	GenotypeID not found
SRR896791	ENA	PRJNA208369	SAMN02199490	GenotypeID not found
SRR896787	ENA	PRJNA208369	SAMN02199487	GenotypeID not found
SRR896785	ENA	PRJNA208369	SAMN02199486	GenotypeID not found
SRR896793	ENA	PRJNA208369	SAMN02199489	GenotypeID not found
SRR299028	ENA	PRJNA143717	SAMN00631215	GenotypeID not found
SRR945233	ENA	PRJNA213747	SAMN02297888	GenotypeID not found
SRR945241	ENA	PRJNA213747	SAMN02297885	GenotypeID not found
SRR945249	ENA	PRJNA213747	SAMN02297886	GenotypeID not found
SRR945235	ENA	PRJNA213747	SAMN02297882	GenotypeID not found
SRR945237	ENA	PRJNA213747	SAMN02297884	GenotypeID not found
SRR897508	ENA	PRJNA208369	SAMN02199770	GenotypeID not found
SRR897515	ENA	PRJNA208369	SAMN02199775	GenotypeID not found
SRR897513	ENA	PRJNA208369	SAMN02199774	GenotypeID not found
SRR897512	ENA	PRJNA208369	SAMN02199771	GenotypeID not found
SRR897507	ENA	PRJNA208369	SAMN02199768	GenotypeID not found
SRR897506	ENA	PRJNA208369	SAMN02199767	GenotypeID not found
SRR897509	ENA	PRJNA208369	SAMN02199769	GenotypeID not found
SRR897516	ENA	PRJNA208369	SAMN02199776	GenotypeID not found
SRR897510	ENA	PRJNA208369	SAMN02199772	GenotypeID not found
SRR897511	ENA	PRJNA208369	SAMN02199773	GenotypeID not found
SRR897521	ENA	PRJNA208369	SAMN02199781	GenotypeID not found
SRR897520	ENA	PRJNA208369	SAMN02199782	GenotypeID not found
SRR897514	ENA	PRJNA208369	SAMN02199777	GenotypeID not found
SRR897519	ENA	PRJNA208369	SAMN02199780	GenotypeID not found
SRR897522	ENA	PRJNA208369	SAMN02199783	GenotypeID not found
SRR897530	ENA	PRJNA208369	SAMN02199785	GenotypeID not found
SRR897518	ENA	PRJNA208369	SAMN02199778	GenotypeID not found
SRR897517	ENA	PRJNA208369	SAMN02199779	GenotypeID not found
SRR897525	ENA	PRJNA208369	SAMN02199786	GenotypeID not found
SRR897531	ENA	PRJNA208369	SAMN02199784	GenotypeID not found
SRR950087	ENA	PRJNA214799	SAMN02315087	GenotypeID not found
SRR950085	ENA	PRJNA214799	SAMN02315085	GenotypeID not found
SRR950081	ENA	PRJNA214799	SAMN02315079	GenotypeID not found
SRR950079	ENA	PRJNA214799	SAMN02315083	GenotypeID not found
SRR950083	ENA	PRJNA214799	SAMN02315081	GenotypeID not found
SRR897896	ENA	PRJNA208369	SAMN02201672	GenotypeID not found
SRR898173	ENA	PRJNA208369	SAMN02201579	GenotypeID not found
SRR898165	ENA	PRJNA208369	SAMN02201628	GenotypeID not found
SRR897895	ENA	PRJNA208369	SAMN02201674	GenotypeID not found
SRR897897	ENA	PRJNA208369	SAMN02201673	GenotypeID not found
SRR898174	ENA	PRJNA208369	SAMN02201609	GenotypeID not found
SRR898166	ENA	PRJNA208369	SAMN02201610	GenotypeID not found
SRR897894	ENA	PRJNA208369	SAMN02201671	GenotypeID not found
SRR897899	ENA	PRJNA208369	SAMN02201675	GenotypeID not found
SRR897893	ENA	PRJNA208369	SAMN02201669	GenotypeID not found
ERR1363361	ENA	PRJEB13579	SAMEA3931545	GenotypeID not found
ERR1363371	ENA	PRJEB13579	SAMEA3931555	GenotypeID not found
SRR063982	ENA	SRP003276	SAMN00102794	GenotypeID not found
SRR1956809	ENA	PRJNA280563	SAMN03465094	GenotypeID not found
SRR1957110	ENA	PRJNA280563	SAMN03465375	GenotypeID not found
SRR3206797	ENA	PRJNA314463	SAMN04535243	GenotypeID not found
SRR3206799	ENA	PRJNA314463	SAMN04535245	GenotypeID not found
SRR3206803	ENA	PRJNA314463	SAMN04535247	GenotypeID not found
SRR3206816	ENA	PRJNA314463	SAMN04535260	GenotypeID not found
SRR3206807	ENA	PRJNA314463	SAMN04535251	GenotypeID not found
SRR3206809	ENA	PRJNA314463	SAMN04535253	GenotypeID not found
SRR3206815	ENA	PRJNA314463	SAMN04535259	GenotypeID not found
SRR3206804	ENA	PRJNA314463	SAMN04535248	GenotypeID not found
SRR3206795	ENA	PRJNA314463	SAMN04535241	GenotypeID not found
SRR3206802	ENA	PRJNA314463	SAMN04535246	GenotypeID not found
SRR1015620	ENA	PRJNA223168	SAMN02378275	GenotypeID not found
SRR1057961	ENA	PRJNA223168	SAMN02378277	GenotypeID not found
SRR1057971	ENA	PRJNA223168	SAMN02378287	GenotypeID not found
SRR1057968	ENA	PRJNA223168	SAMN02378284	GenotypeID not found
SRR897901	ENA	PRJNA208369	SAMN02201679	GenotypeID not found
SRR897903	ENA	PRJNA208369	SAMN02201681	GenotypeID not found
SRR897902	ENA	PRJNA208369	SAMN02201677	GenotypeID not found
SRR897907	ENA	PRJNA208369	SAMN02201685	GenotypeID not found
SRR897906	ENA	PRJNA208369	SAMN02201684	GenotypeID not found
SRR897904	ENA	PRJNA208369	SAMN02201682	GenotypeID not found
SRR897898	ENA	PRJNA208369	SAMN02201676	GenotypeID not found
SRR897900	ENA	PRJNA208369	SAMN02201678	GenotypeID not found
SRR897908	ENA	PRJNA208369	SAMN02201683	GenotypeID not found
SRR897905	ENA	PRJNA208369	SAMN02201680	GenotypeID not found
SRR897161	ENA	PRJNA208369	SAMN02200201	GenotypeID not found
SRR897154	ENA	PRJNA208369	SAMN02200196	GenotypeID not found
SRR897157	ENA	PRJNA208369	SAMN02200198	GenotypeID not found
SRR897158	ENA	PRJNA208369	SAMN02200199	GenotypeID not found
SRR897170	ENA	PRJNA208369	SAMN02200205	GenotypeID not found
SRR897162	ENA	PRJNA208369	SAMN02200203	GenotypeID not found
SRR897159	ENA	PRJNA208369	SAMN02200200	GenotypeID not found
SRR897164	ENA	PRJNA208369	SAMN02200204	GenotypeID not found
SRR897156	ENA	PRJNA208369	SAMN02200197	GenotypeID not found
SRR897160	ENA	PRJNA208369	SAMN02200202	GenotypeID not found
SRR2816120	ENA	PRJNA299472	SAMN04209767	GenotypeID not found
SRR2816114	ENA	PRJNA299472	SAMN04209761	GenotypeID not found
SRR2816113	ENA	PRJNA299472	SAMN04209760	GenotypeID not found
SRR2816118	ENA	PRJNA299472	SAMN04209765	GenotypeID not found
SRR2816121	ENA	PRJNA299472	SAMN04209768	GenotypeID not found
SRR945217	ENA	PRJNA213747	SAMN02297878	GenotypeID not found
SRR945225	ENA	PRJNA213747	SAMN02297881	GenotypeID not found
SRR945219	ENA	PRJNA213747	SAMN02297877	GenotypeID not found
SRR945223	ENA	PRJNA213747	SAMN02297879	GenotypeID not found
SRR945229	ENA	PRJNA213747	SAMN02297880	GenotypeID not found
SRR897879	ENA	PRJNA208369	SAMN02199660	GenotypeID not found
SRR897883	ENA	PRJNA208369	SAMN02199663	GenotypeID not found
SRR897877	ENA	PRJNA208369	SAMN02199659	GenotypeID not found
SRR897880	ENA	PRJNA208369	SAMN02199664	GenotypeID not found
SRR897881	ENA	PRJNA208369	SAMN02199662	GenotypeID not found
SRR897875	ENA	PRJNA208369	SAMN02199658	GenotypeID not found
SRR897882	ENA	PRJNA208369	SAMN02199665	GenotypeID not found
SRR897890	ENA	PRJNA208369	SAMN02199661	GenotypeID not found
SRR897878	ENA	PRJNA208369	SAMN02199657	GenotypeID not found
SRR897886	ENA	PRJNA208369	SAMN02199666	GenotypeID not found
SRR897492	ENA	PRJNA208369	SAMN02199872	GenotypeID not found
SRR897502	ENA	PRJNA208369	SAMN02199879	GenotypeID not found
SRR897493	ENA	PRJNA208369	SAMN02199875	GenotypeID not found
SRR897489	ENA	PRJNA208369	SAMN02199871	GenotypeID not found
SRR897494	ENA	PRJNA208369	SAMN02199878	GenotypeID not found
SRR897490	ENA	PRJNA208369	SAMN02199874	GenotypeID not found
SRR897501	ENA	PRJNA208369	SAMN02199876	GenotypeID not found
SRR897503	ENA	PRJNA208369	SAMN02199877	GenotypeID not found
SRR897496	ENA	PRJNA208369	SAMN02199880	GenotypeID not found
SRR897500	ENA	PRJNA208369	SAMN02199873	GenotypeID not found
SRR3206779	ENA	PRJNA314463	SAMN04535223	GenotypeID not found
SRR3206777	ENA	PRJNA314463	SAMN04535221	GenotypeID not found
SRR3206787	ENA	PRJNA314463	SAMN04535231	GenotypeID not found
SRR3206780	ENA	PRJNA314463	SAMN04535224	GenotypeID not found
SRR3206778	ENA	PRJNA314463	SAMN04535222	GenotypeID not found
SRR3206791	ENA	PRJNA314463	SAMN04535235	GenotypeID not found
SRR3206786	ENA	PRJNA314463	SAMN04535230	GenotypeID not found
SRR3206785	ENA	PRJNA314463	SAMN04535229	GenotypeID not found
SRR3206792	ENA	PRJNA314463	SAMN04535236	GenotypeID not found
SRR3206793	ENA	PRJNA314463	SAMN04535239	GenotypeID not found
SRR897872	ENA	PRJNA208369	SAMN02199651	GenotypeID not found
SRR897867	ENA	PRJNA208369	SAMN02199648	GenotypeID not found
SRR897874	ENA	PRJNA208369	SAMN02199655	GenotypeID not found
SRR897871	ENA	PRJNA208369	SAMN02199653	GenotypeID not found
SRR897873	ENA	PRJNA208369	SAMN02199654	GenotypeID not found
SRR897865	ENA	PRJNA208369	SAMN02199647	GenotypeID not found
SRR897868	ENA	PRJNA208369	SAMN02199650	GenotypeID not found
SRR897869	ENA	PRJNA208369	SAMN02199649	GenotypeID not found
SRR897870	ENA	PRJNA208369	SAMN02199652	GenotypeID not found
SRR897876	ENA	PRJNA208369	SAMN02199656	GenotypeID not found
ERR1363351	ENA	PRJEB13579	SAMEA3931535	GenotypeID not found
SRR898332	ENA	PRJNA208369	SAMN02201987	GenotypeID not found
SRR898341	ENA	PRJNA208369	SAMN02201991	GenotypeID not found
SRR898365	ENA	PRJNA208369	SAMN02201995	GenotypeID not found
SRR898342	ENA	PRJNA208369	SAMN02201992	GenotypeID not found
SRR898344	ENA	PRJNA208369	SAMN02201994	GenotypeID not found
SRR898360	ENA	PRJNA208369	SAMN02201997	GenotypeID not found
SRR898338	ENA	PRJNA208369	SAMN02201990	GenotypeID not found
SRR898334	ENA	PRJNA208369	SAMN02201986	GenotypeID not found
SRR898337	ENA	PRJNA208369	SAMN02201989	GenotypeID not found
SRR898335	ENA	PRJNA208369	SAMN02201988	GenotypeID not found
SRR1424699	ENA	PRJNA253002	SAMN02866091	GenotypeID not found
SRR3627898	ENA	PRJNA322318	SAMN05163566	GenotypeID not found
SRR897528	ENA	PRJNA208369	SAMN02199790	GenotypeID not found
SRR897532	ENA	PRJNA208369	SAMN02199794	GenotypeID not found
SRR897533	ENA	PRJNA208369	SAMN02199793	GenotypeID not found
SRR897526	ENA	PRJNA208369	SAMN02199789	GenotypeID not found
SRR897527	ENA	PRJNA208369	SAMN02199791	GenotypeID not found
SRR897523	ENA	PRJNA208369	SAMN02199788	GenotypeID not found
SRR897536	ENA	PRJNA208369	SAMN02199796	GenotypeID not found
SRR897524	ENA	PRJNA208369	SAMN02199787	GenotypeID not found
SRR897534	ENA	PRJNA208369	SAMN02199795	GenotypeID not found
SRR897529	ENA	PRJNA208369	SAMN02199792	GenotypeID not found
SRR309134	ENA	PRJNA143369	SAMN00668205	GenotypeID not found
SRR309136	ENA	PRJNA143369	SAMN00668206	GenotypeID not found
SRR5361461	ENA	PRJNA379666	SAMN06621731	GenotypeID not found
SRR2816002	ENA	PRJNA299472	SAMN04209718	GenotypeID not found
SRR2816000	ENA	PRJNA299472	SAMN04209716	GenotypeID not found
SRR2815994	ENA	PRJNA299472	SAMN04209710	GenotypeID not found
SRR2816003	ENA	PRJNA299472	SAMN04209719	GenotypeID not found
SRR2815997	ENA	PRJNA299472	SAMN04209713	GenotypeID not found
SRR2816004	ENA	PRJNA299472	SAMN04209720	GenotypeID not found
SRR2815999	ENA	PRJNA299472	SAMN04209715	GenotypeID not found
SRR898306	ENA	PRJNA208369	SAMN02202018	GenotypeID not found
SRR898309	ENA	PRJNA208369	SAMN02202036	GenotypeID not found
SRR898312	ENA	PRJNA208369	SAMN02202035	GenotypeID not found
SRR898321	ENA	PRJNA208369	SAMN02202037	GenotypeID not found
SRR898327	ENA	PRJNA208369	SAMN02202051	GenotypeID not found
SRR898318	ENA	PRJNA208369	SAMN02202042	GenotypeID not found
SRR898324	ENA	PRJNA208369	SAMN02202050	GenotypeID not found
SRR898315	ENA	PRJNA208369	SAMN02202048	GenotypeID not found
SRR898303	ENA	PRJNA208369	SAMN02202016	GenotypeID not found
SRR898363	ENA	PRJNA208369	SAMN02202006	GenotypeID not found
SRR3539903	ENA	PRJNA321955	SAMN05007692	GenotypeID not found
SRR3539902	ENA	PRJNA321955	SAMN05007691	GenotypeID not found
SRR3539901	ENA	PRJNA321955	SAMN05007690	GenotypeID not found
SRR3539906	ENA	PRJNA321955	SAMN05007695	GenotypeID not found
SRR3539905	ENA	PRJNA321955	SAMN05007694	GenotypeID not found
SRR3539904	ENA	PRJNA321955	SAMN05007693	GenotypeID not found
SRR1952227	ENA	PRJNA233428	SAMN02568926	GenotypeID not found
SRR1952229	ENA	PRJNA233428	SAMN02568928	GenotypeID not found
SRR896820	ENA	PRJNA208369	SAMN02199515	GenotypeID not found
SRR896819	ENA	PRJNA208369	SAMN02199525	GenotypeID not found
SRR896814	ENA	PRJNA208369	SAMN02199544	GenotypeID not found
SRR896817	ENA	PRJNA208369	SAMN02199541	GenotypeID not found
SRR896822	ENA	PRJNA208369	SAMN02199523	GenotypeID not found
SRR896810	ENA	PRJNA208369	SAMN02199526	GenotypeID not found
SRR896813	ENA	PRJNA208369	SAMN02199514	GenotypeID not found
SRR896821	ENA	PRJNA208369	SAMN02199533	GenotypeID not found
SRR896812	ENA	PRJNA208369	SAMN02199534	GenotypeID not found
SRR896811	ENA	PRJNA208369	SAMN02199513	GenotypeID not found
SRR1510136	ENA	PRJNA254971	SAMN02906839	GenotypeID not found
SRR1510135	ENA	PRJNA254971	SAMN02906838	GenotypeID not found
SRR897148	ENA	PRJNA208369	SAMN02200190	GenotypeID not found
SRR897150	ENA	PRJNA208369	SAMN02200191	GenotypeID not found
SRR897153	ENA	PRJNA208369	SAMN02200193	GenotypeID not found
SRR897146	ENA	PRJNA208369	SAMN02200186	GenotypeID not found
SRR897145	ENA	PRJNA208369	SAMN02200189	GenotypeID not found
SRR897155	ENA	PRJNA208369	SAMN02200195	GenotypeID not found
SRR897152	ENA	PRJNA208369	SAMN02200192	GenotypeID not found
SRR897151	ENA	PRJNA208369	SAMN02200194	GenotypeID not found
SRR897149	ENA	PRJNA208369	SAMN02200188	GenotypeID not found
SRR897147	ENA	PRJNA208369	SAMN02200187	GenotypeID not found
SRR896804	ENA	PRJNA208369	SAMN02199503	GenotypeID not found
SRR896801	ENA	PRJNA208369	SAMN02199502	GenotypeID not found
SRR896809	ENA	PRJNA208369	SAMN02199510	GenotypeID not found
SRR896815	ENA	PRJNA208369	SAMN02199507	GenotypeID not found
SRR896816	ENA	PRJNA208369	SAMN02199511	GenotypeID not found
SRR896806	ENA	PRJNA208369	SAMN02199505	GenotypeID not found
SRR896807	ENA	PRJNA208369	SAMN02199509	GenotypeID not found
SRR896808	ENA	PRJNA208369	SAMN02199506	GenotypeID not found
SRR896818	ENA	PRJNA208369	SAMN02199508	GenotypeID not found
SRR896805	ENA	PRJNA208369	SAMN02199512	GenotypeID not found
ERR103425	ENA	PRJEB2939	SAMEA1322595	GenotypeID not found
ERR103434	ENA	PRJEB2939	SAMEA1322597	GenotypeID not found
SRR897544	ENA	PRJNA208369	SAMN02199807	GenotypeID not found
SRR897550	ENA	PRJNA208369	SAMN02199812	GenotypeID not found
SRR897555	ENA	PRJNA208369	SAMN02199816	GenotypeID not found
SRR897548	ENA	PRJNA208369	SAMN02199808	GenotypeID not found
SRR897554	ENA	PRJNA208369	SAMN02199814	GenotypeID not found
SRR897551	ENA	PRJNA208369	SAMN02199810	GenotypeID not found
SRR897553	ENA	PRJNA208369	SAMN02199815	GenotypeID not found
SRR897547	ENA	PRJNA208369	SAMN02199809	GenotypeID not found
SRR897552	ENA	PRJNA208369	SAMN02199813	GenotypeID not found
SRR897549	ENA	PRJNA208369	SAMN02199811	GenotypeID not found
SRR1004319	ENA	PRJNA222268	SAMN02369592	GenotypeID not found
SRR1004317	ENA	PRJNA222268	SAMN02369594	GenotypeID not found
SRR1004315	ENA	PRJNA222268	SAMN02369591	GenotypeID not found
SRR1004320	ENA	PRJNA222268	SAMN02369589	GenotypeID not found
SRR1004321	ENA	PRJNA222268	SAMN02369593	GenotypeID not found
SRR1004313	ENA	PRJNA222268	SAMN02369590	GenotypeID not found
SRR039630	ENA	PRJNA120729	SAMN00011080	GenotypeID not found
SRR039629	ENA	PRJNA120729	SAMN00011079	GenotypeID not found
SRR039628	ENA	PRJNA120729	SAMN00011078	GenotypeID not found
SRR039632	ENA	PRJNA120729	SAMN00011082	GenotypeID not found
SRR039633	ENA	PRJNA120729	SAMN00011083	GenotypeID not found
SRR039631	ENA	PRJNA120729	SAMN00011081	GenotypeID not found
SRR066468	ENA	PRJNA133719	SAMN00113539	GenotypeID not found
SRR897178	ENA	PRJNA208369	SAMN02200102	GenotypeID not found
SRR897186	ENA	PRJNA208369	SAMN02200107	GenotypeID not found
SRR897181	ENA	PRJNA208369	SAMN02200103	GenotypeID not found
SRR897183	ENA	PRJNA208369	SAMN02200104	GenotypeID not found
SRR897187	ENA	PRJNA208369	SAMN02200110	GenotypeID not found
SRR897182	ENA	PRJNA208369	SAMN02200101	GenotypeID not found
SRR897191	ENA	PRJNA208369	SAMN02200109	GenotypeID not found
SRR897185	ENA	PRJNA208369	SAMN02200106	GenotypeID not found
SRR897184	ENA	PRJNA208369	SAMN02200105	GenotypeID not found
SRR897189	ENA	PRJNA208369	SAMN02200108	GenotypeID not found
SRR896761	ENA	PRJNA208369	SAMN02199576	GenotypeID not found
SRR896770	ENA	PRJNA208369	SAMN02199581	GenotypeID not found
SRR896758	ENA	PRJNA208369	SAMN02199574	GenotypeID not found
SRR896764	ENA	PRJNA208369	SAMN02199579	GenotypeID not found
SRR896743	ENA	PRJNA208369	SAMN02199573	GenotypeID not found
SRR896760	ENA	PRJNA208369	SAMN02199575	GenotypeID not found
SRR896763	ENA	PRJNA208369	SAMN02199577	GenotypeID not found
SRR896766	ENA	PRJNA208369	SAMN02199578	GenotypeID not found
SRR896752	ENA	PRJNA208369	SAMN02199572	GenotypeID not found
SRR896769	ENA	PRJNA208369	SAMN02199580	GenotypeID not found
SRR897487	ENA	PRJNA208369	SAMN02199869	GenotypeID not found
SRR897491	ENA	PRJNA208369	SAMN02199870	GenotypeID not found
SRR897559	ENA	PRJNA208369	SAMN02199821	GenotypeID not found
SRR897557	ENA	PRJNA208369	SAMN02199817	GenotypeID not found
SRR897562	ENA	PRJNA208369	SAMN02199826	GenotypeID not found
SRR897561	ENA	PRJNA208369	SAMN02199823	GenotypeID not found
SRR897560	ENA	PRJNA208369	SAMN02199819	GenotypeID not found
SRR897558	ENA	PRJNA208369	SAMN02199820	GenotypeID not found
SRR897488	ENA	PRJNA208369	SAMN02199868	GenotypeID not found
SRR897556	ENA	PRJNA208369	SAMN02199818	GenotypeID not found
SRR898353	ENA	PRJNA208369	SAMN02201923	GenotypeID not found
SRR898339	ENA	PRJNA208369	SAMN02201914	GenotypeID not found
SRR898347	ENA	PRJNA208369	SAMN02201920	GenotypeID not found
SRR898350	ENA	PRJNA208369	SAMN02201919	GenotypeID not found
SRR898349	ENA	PRJNA208369	SAMN02201916	GenotypeID not found
SRR897861	ENA	PRJNA208369	SAMN02201748	GenotypeID not found
SRR898356	ENA	PRJNA208369	SAMN02201924	GenotypeID not found
SRR898345	ENA	PRJNA208369	SAMN02201918	GenotypeID not found
SRR898352	ENA	PRJNA208369	SAMN02201917	GenotypeID not found
SRR898355	ENA	PRJNA208369	SAMN02201922	GenotypeID not found
SRR898151	ENA	PRJNA208369	SAMN02200660	GenotypeID not found
SRR897566	ENA	PRJNA208369	SAMN02200608	GenotypeID not found
SRR898143	ENA	PRJNA208369	SAMN02200655	GenotypeID not found
SRR898149	ENA	PRJNA208369	SAMN02200661	GenotypeID not found
SRR898145	ENA	PRJNA208369	SAMN02200656	GenotypeID not found
SRR898146	ENA	PRJNA208369	SAMN02200657	GenotypeID not found
SRR898148	ENA	PRJNA208369	SAMN02200658	GenotypeID not found
SRR898147	ENA	PRJNA208369	SAMN02200662	GenotypeID not found
SRR897565	ENA	PRJNA208369	SAMN02200605	GenotypeID not found
SRR898144	ENA	PRJNA208369	SAMN02200659	GenotypeID not found
SRR1216042	ENA	PRJNA208369	SAMN02716686	GenotypeID not found
SRR1216051	ENA	PRJNA208369	SAMN02716693	GenotypeID not found
SRR1216049	ENA	PRJNA208369	SAMN02716692	GenotypeID not found
SRR1216045	ENA	PRJNA208369	SAMN02716688	GenotypeID not found
SRR1216044	ENA	PRJNA208369	SAMN02716687	GenotypeID not found
SRR1216028	ENA	PRJNA208369	SAMN02716723	GenotypeID not found
SRR1216048	ENA	PRJNA208369	SAMN02716690	GenotypeID not found
SRR1216046	ENA	PRJNA208369	SAMN02716685	GenotypeID not found
SRR1216050	ENA	PRJNA208369	SAMN02716691	GenotypeID not found
SRR1216047	ENA	PRJNA208369	SAMN02716689	GenotypeID not found
SRR897194	ENA	PRJNA208369	SAMN02200112	GenotypeID not found
SRR897195	ENA	PRJNA208369	SAMN02200115	GenotypeID not found
SRR897122	ENA	PRJNA208369	SAMN02200163	GenotypeID not found
SRR897192	ENA	PRJNA208369	SAMN02200114	GenotypeID not found
SRR897190	ENA	PRJNA208369	SAMN02200113	GenotypeID not found
SRR897196	ENA	PRJNA208369	SAMN02200118	GenotypeID not found
SRR897123	ENA	PRJNA208369	SAMN02200164	GenotypeID not found
SRR897125	ENA	PRJNA208369	SAMN02200165	GenotypeID not found
SRR897188	ENA	PRJNA208369	SAMN02200111	GenotypeID not found
SRR897193	ENA	PRJNA208369	SAMN02200116	GenotypeID not found
SRR1747194	ENA	PRJNA271929	SAMN03279857	GenotypeID not found
SRR1132102	ENA	PRJNA235930	SAMN02592708	GenotypeID not found
SRR1130927	ENA	PRJNA235930	SAMN02592690	GenotypeID not found
SRR1131110	ENA	PRJNA235930	SAMN02592692	GenotypeID not found
SRR1131116	ENA	PRJNA235930	SAMN02592695	GenotypeID not found
SRR1131929	ENA	PRJNA235930	SAMN02592705	GenotypeID not found
SRR1131935	ENA	PRJNA235930	SAMN02592707	GenotypeID not found
SRR1132101	ENA	PRJNA235930	SAMN02592709	GenotypeID not found
SRR1130770	ENA	PRJNA235930	SAMN02592686	GenotypeID not found
SRR1131663	ENA	PRJNA235930	SAMN02592700	GenotypeID not found
SRR1131119	ENA	PRJNA235930	SAMN02592696	GenotypeID not found
SRR897163	ENA	PRJNA208369	SAMN02200206	GenotypeID not found
SRR897166	ENA	PRJNA208369	SAMN02200210	GenotypeID not found
SRR897165	ENA	PRJNA208369	SAMN02200207	GenotypeID not found
SRR897563	ENA	PRJNA208369	SAMN02200604	GenotypeID not found
SRR897167	ENA	PRJNA208369	SAMN02200214	GenotypeID not found
SRR897174	ENA	PRJNA208369	SAMN02200212	GenotypeID not found
SRR897171	ENA	PRJNA208369	SAMN02200208	GenotypeID not found
SRR897173	ENA	PRJNA208369	SAMN02200209	GenotypeID not found
SRR897172	ENA	PRJNA208369	SAMN02200211	GenotypeID not found
