RnaID	GenotypeID	MetaCohort	RNADataset	GenotypeIndividualsDataset
2016-793	2016-793	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-1338	2015-1338	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-1338	2015-1338	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-3170	2015-3170	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2016-864	2016-864	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-2588	2015-2588	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-1473	2015-1473	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-1473	2015-1473	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-2593	2015-2593	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-1538	2015-1538	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-1538	2015-1538	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-478	2015-478	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-478	2015-478	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-1556	2015-1556	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-1556	2015-1556	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-1407	2015-1407	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-1407	2015-1407	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-3229	2015-3229	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-3278	2015-3278	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-807	2015-807	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-807	2015-807	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2016-828	2016-828	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-3228	2015-3228	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2016-957	2016-957	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2016-957	2016-957	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-2573	2015-2573	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-1554	2015-1554	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-1554	2015-1554	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-808	2015-808	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-808	2015-808	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-2610	2015-2610	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-2629	2015-2629	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-771	2015-771	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-771	2015-771	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2016-946	2016-946	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2016-946	2016-946	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-2605	2015-2605	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2014-2201	2014-2201	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2014-2201	2014-2201	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-519	2015-519	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-519	2015-519	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2016-862	2016-862	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-1478	2015-1478	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-1478	2015-1478	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-3280	2015-3280	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-1506	2015-1506	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-1506	2015-1506	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-3283	2015-3283	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-249	2015-249	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-249	2015-249	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2016-924	2016-924	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2016-924	2016-924	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-41	2015-41	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-41	2015-41	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-3082	2015-3082	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-2584	2015-2584	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-2949	2015-2949	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-2578	2015-2578	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-860	2015-860	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-860	2015-860	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-2625	2015-2625	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2016-940	2016-940	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2016-940	2016-940	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-1475	2015-1475	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-1475	2015-1475	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2016-796	2016-796	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-1436	2015-1436	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-1436	2015-1436	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-45	2015-45	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-45	2015-45	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-4	2015-4	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-4	2015-4	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-856	2015-856	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-856	2015-856	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-2884	2015-2884	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-1541	2015-1541	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-1541	2015-1541	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-284	2015-284	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-284	2015-284	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-918	2015-918	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-918	2015-918	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2016-832	2016-832	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2016-892	2016-892	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2016-892	2016-892	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-280	2015-280	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-280	2015-280	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2016-834	2016-834	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-354	2015-354	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-354	2015-354	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-2919	2015-2919	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-1333	2015-1333	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-1333	2015-1333	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-1432	2015-1432	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-1432	2015-1432	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-777	2015-777	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-777	2015-777	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-3227	2015-3227	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-2945	2015-2945	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-864	2015-864	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-864	2015-864	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-1511	2015-1511	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-1511	2015-1511	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-2948	2015-2948	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-2580	2015-2580	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-287	2015-287	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-287	2015-287	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-2888	2015-2888	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-3275	2015-3275	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-2922	2015-2922	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2016-823	2016-823	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-3276	2015-3276	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2016-923	2016-923	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2016-923	2016-923	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-2881	2015-2881	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-1536	2015-1536	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-1536	2015-1536	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-1447	2015-1447	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-1447	2015-1447	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-39	2015-39	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2015-39	2015-39	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2015-3232	2015-3232	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2016-942	2016-942	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2016-942	2016-942	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2016-800	2016-800	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-3167	2015-3167	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2016-925	2016-925	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
2016-925	2016-925	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEXUpdate-Individuals.txt
2016-824	2016-824	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\GVEX-Individuals.txt
2015-902	2015-902	PsychEncode	BrainGVEx	D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\genotypeIndividuals\BrainGVEX-V2-Individuals.txt
